screen_name,upper_letter_count,upper_ratio,followers_count,friends_count,bio_pronouns_count,bio_NNP_tags,bio_PRP_tags,bio_Yes_freq_terms,bio_No_freq_terms,bio_auto_Yes_freq_terms,bio_auto_No_freq_terms,class
@Jacarrah__,1,0.09090909090909091,1296,1126,0,5,0,0,0,0,1,n
@SchultzTana,2,0.16666666666666666,1293,1730,2,3,1,0,0,11,0,y
@indu_neupane,0,0.0,1292,526,0,2,0,0,0,1,0,y
@NancieShiroh,2,0.15384615384615385,1285,1851,2,0,2,0,0,2,10,n
@eviefisher10,0,0.0,1284,1444,4,8,2,2,0,12,3,y
@NurseEdUK,4,0.4,1282,1078,0,9,0,0,1,7,7,n
@nancy091013,0,0.0,1282,2122,0,2,0,1,0,1,1,y
@The_NP_Show,4,0.3333333333333333,1279,348,1,11,0,0,0,3,7,n
@sweetcakes1965,0,0.0,1279,2135,0,3,0,1,0,8,2,y
@BravePublic_Hat,3,0.1875,1279,1088,0,13,0,0,0,6,0,y
@MarinesCatMom,3,0.21428571428571427,1277,742,2,0,0,1,0,1,3,n
@DirtyTeleNurse,3,0.2,1275,1792,2,0,2,1,0,6,7,n
@SpecialOps_X,3,0.23076923076923078,1267,1742,0,3,1,0,0,1,5,n
@Nurse_Hub,2,0.2,1265,907,0,0,0,0,1,0,2,n
@Maryam_B_A_97,3,0.21428571428571427,1265,2075,0,0,0,0,0,0,0,n
@jay_kanz,0,0.0,1264,569,0,12,0,0,0,11,0,y
@dalie_1998,0,0.0,1257,1947,0,2,0,0,1,0,4,n
@nursein_trainin,0,0.0,1257,894,0,0,0,0,0,0,5,n
@Goldschlagerkid,1,0.0625,1256,395,0,14,0,1,0,13,2,y
@wanderwithwine1,0,0.0,1248,887,0,2,0,2,0,9,0,y
@mthembunokuthu1,0,0.0,1244,1827,1,5,0,1,0,0,7,n
@besin_lani,0,0.0,1238,1902,0,1,0,1,0,7,0,y
@philliponduty,0,0.0,1232,911,0,12,0,0,0,1,7,n
@JessicaMPicard,3,0.2,1231,1245,2,5,1,0,0,3,9,n
@GirlyChristian7,2,0.125,1230,1203,4,6,3,0,0,17,1,y
@Beautifulnoora,1,0.06666666666666667,1228,209,0,13,0,0,0,8,0,y
@AshBashNichole,3,0.2,1224,1035,1,7,1,0,0,1,4,n
@rk773936,0,0.0,1222,1578,3,0,3,0,0,4,2,y
@AstroguyHawaii,2,0.13333333333333333,1222,1362,0,8,0,0,0,8,1,y
@Striker0108,1,0.08333333333333333,1221,1227,0,12,0,1,0,11,1,y
@sleepingcats215,0,0.0,1219,2266,2,1,0,1,0,14,1,y
@EclipseOfiukusu,2,0.125,1206,371,0,7,0,0,0,10,1,y
@Emoniee_D,2,0.2,1204,1605,0,6,0,0,0,0,1,n
@_ParisNextDoor_,3,0.1875,1202,1190,0,9,0,0,0,1,7,n
@janessong319,0,0.0,1195,2204,4,2,2,0,0,13,1,y
@skyedolphins,0,0.0,1190,2099,0,3,0,0,0,10,1,y
@fhoodstories,0,0.0,1189,253,2,5,1,0,0,5,0,y
@shopshi,0,0.0,1185,2026,1,1,0,3,0,9,1,y
@NurseCrazyEyez,3,0.2,1183,1904,1,6,0,0,0,13,3,y
@gingermshort,0,0.0,1180,1965,0,6,0,0,0,11,1,y
@Dirty_Nappy,2,0.16666666666666666,1175,1049,1,6,0,0,0,13,0,y
@VivianJo1,2,0.2,1173,1091,1,12,1,0,0,11,1,y
@NiddyNidz,2,0.2,1162,1103,2,3,0,0,0,6,1,y
@msallaboutus,0,0.0,1158,1265,1,8,0,1,0,7,3,y
@FaizaLhabidabs,2,0.13333333333333333,1157,261,0,6,0,1,0,5,0,y
@KayMarleyMar,3,0.23076923076923078,1152,1317,0,3,0,1,0,0,6,n
@kellymoorebp,0,0.0,1148,1427,0,1,0,0,0,10,0,y
@Cybernat61,1,0.09090909090909091,1145,2004,0,2,0,0,0,2,0,y
@Chall94509,1,0.09090909090909091,1141,1720,5,8,3,0,0,10,2,y
@nurseanita1998,0,0.0,1138,2162,0,1,0,0,0,1,0,y
@johairah23,0,0.0,1138,884,3,0,2,0,0,8,1,y
@Tj48000Nina,2,0.16666666666666666,1135,1142,3,5,0,0,0,10,0,y
@Mbelin1033Mary,2,0.13333333333333333,1132,1987,0,15,0,0,0,7,1,y
@nijeah,0,0.0,1131,1841,5,2,3,0,0,6,6,n
@eatASIAn_food,4,0.2857142857142857,1130,874,3,0,1,0,1,1,5,n
@NCbaby_,2,0.25,1128,1376,4,11,2,1,0,2,6,n
@kermei_94,0,0.0,1120,102,0,12,0,0,0,0,5,n
@lesleycarter22,0,0.0,1119,1510,1,5,0,1,0,6,2,y
@MLPSnowStar,5,0.4166666666666667,1119,1295,0,10,0,0,0,11,0,y
@TheTinderGay,3,0.23076923076923078,1117,829,4,8,4,0,0,12,2,y
@nawty_nurse,0,0.0,1113,169,0,0,0,0,0,0,0,n
@mentalmaven,0,0.0,1113,509,0,4,0,0,0,11,1,y
@Mountainultra,1,0.07142857142857142,1112,201,0,23,0,0,0,0,8,n
@mc_sherrie,0,0.0,1110,1944,0,0,0,0,0,1,1,y
@911getaway,0,0.0,1110,1957,2,0,1,0,0,14,1,y
@MichelleMenny,2,0.14285714285714285,1110,3075,2,2,1,3,1,6,7,n
@alain77510773,0,0.0,1109,998,1,0,1,0,0,8,1,y
@PGibesonRN,4,0.36363636363636365,1108,2245,1,6,0,0,0,10,3,y
@Bbiscuit24,1,0.09090909090909091,1107,269,0,10,0,1,0,3,10,n
@LoriBrabant,2,0.16666666666666666,1106,2403,0,5,0,0,0,2,0,y
@TerrieMcevoy,2,0.15384615384615385,1103,55,4,8,3,0,0,10,1,y
@RoxyFoxy222,2,0.16666666666666666,1089,4021,5,9,4,1,0,11,0,y
@chocolatekillaa,0,0.0,1088,2212,0,14,3,0,0,2,5,n
@I_never_fear,1,0.07692307692307693,1087,385,4,4,3,2,0,1,8,n
@thatgaynurse,0,0.0,1086,587,1,3,1,0,1,0,0,n
@hold_sugar,0,0.0,1086,778,2,1,0,1,0,2,5,n
@snarkyscrubs,0,0.0,1082,566,2,6,0,2,0,13,0,y
@DelicsSurprise,2,0.13333333333333333,1081,4961,3,12,1,1,0,6,1,y
@MamaCurtiss,2,0.16666666666666666,1073,1678,0,17,0,0,0,7,0,y
@NursesRound,2,0.16666666666666666,1068,2006,0,9,0,0,0,12,2,y
@OtterInTheStx,4,0.2857142857142857,1063,696,1,0,1,2,0,6,0,y
@evelynpm50,0,0.0,1060,2012,3,0,1,4,0,10,2,y
@future__nurse,0,0.0,1060,683,0,2,0,1,0,3,1,y
@_niyaamonae,0,0.0,1056,875,0,11,0,1,0,4,6,n
@LifeInTheICU,6,0.46153846153846156,1053,496,0,6,0,0,0,9,1,y
@Mikeys1Mum,2,0.18181818181818182,1052,2461,4,0,2,3,0,11,3,y
@sassnpolitics,0,0.0,1050,869,0,4,0,1,1,4,3,n
@patsy_glasgow,0,0.0,1048,1700,0,4,0,0,0,1,7,n
@sassy_md_sn,0,0.0,1044,703,0,4,0,1,0,2,2,n
@fd00ba57417d449,0,0.0,1042,934,0,4,0,0,0,9,2,y
@beachnurse269,0,0.0,1041,2993,0,0,0,0,0,0,2,n
@LapeNurse,2,0.2,1034,477,0,8,0,1,0,6,0,y
@Buffy3349,1,0.1,1031,1191,3,0,2,0,0,8,1,y
@Rwmartin72,1,0.09090909090909091,1030,2197,0,10,0,0,0,13,2,y
@getitkim,0,0.0,1026,333,1,0,0,3,1,11,2,y
@CharmantNiQ,3,0.25,1023,805,0,0,0,0,0,0,0,n
@mmistretta691,0,0.0,1022,992,3,1,3,5,0,8,5,y
@libertarianchik,0,0.0,1022,1043,0,6,0,0,0,7,1,y
@SoutheRNgirl767,3,0.1875,1021,1978,0,1,0,0,1,0,0,n
@ScuthernBeauty,2,0.13333333333333333,1021,984,0,13,0,0,0,8,0,y
@MixMylicious,2,0.15384615384615385,1019,1004,1,17,1,0,0,13,0,y
@fargoscargo1,0,0.0,1012,1291,0,6,0,0,0,1,2,n
